从原始材料、机器整理到人工核对的协作场景	Raw material, machine organization and human review	資料の収集、機械による整理、人による確認	자료 수집, 기계 정리, 사람의 검토	Vom Rohmaterial über maschinelle Ordnung zur menschlichen Prüfung	Des matériaux bruts au classement automatique puis à la vérification humaine	От исходных материалов к машинной обработке и проверке человеком
收集材料	Gather material	資料を集める	자료 수집	Material sammeln	Rassembler	Сбор материалов
连接结构	Connection map	接続構成	연결 구조	Verbindungsstruktur	Structure de connexion	Схема подключения
调用过程	Call sequence	呼び出しの流れ	호출 과정	Aufrufablauf	Déroulement de l’appel	Процесс вызова
整理线索	Organize clues	手がかりを整理	단서 정리	Hinweise ordnen	Organiser les indices	Систематизация
人工核对	Human review	人が確かめる	사람의 검토	Menschliche Prüfung	Vérification humaine	Проверка человеком
AI 生成的概念插画	AI-generated conceptual illustration	AI 生成の概念イラスト	AI로 생성한 개념 삽화	KI-generierte Konzeptillustration	Illustration conceptuelle générée par IA	Концептуальная иллюстрация, созданная ИИ
技术分享的想法	An idea for a technical talk	技術発表のアイデア	기술 발표 아이디어	Idee für einen Fachvortrag	Une idée de présentation technique	Идея технического доклада
目标与验收条件	Goal and acceptance criteria	目標と完了条件	목표와 검수 기준	Ziel und Abnahmekriterien	Objectif et critères de validation	Цель и критерии приёмки
带出处的候选资料	Candidate sources with references	出典付きの資料候補	출처가 있는 후보 자료	Quellenkandidaten mit Belegen	Documents candidats avec références	Материалы с указанием источников
等待核对的提纲	An outline awaiting review	確認待ちの構成案	검토를 기다리는 개요	Gliederung zur Prüfung	Un plan à vérifier	План, ожидающий проверки
本次保存的许可	Permission for this save	今回の保存への許可	이번 저장에 대한 허가	Erlaubnis für diesen Speichervorgang	Autorisation de cet enregistrement	Разрешение на это сохранение
实际生成的文件	The file actually created	実際に作成されたファイル	실제로 생성된 파일	Die tatsächlich erstellte Datei	Le fichier effectivement créé	Фактически созданный файл
通过或未通过的记录	A pass or fail record	合否の記録	통과 또는 실패 기록	Protokoll: bestanden oder nicht	Un résultat validé ou refusé	Запись об успешной или неуспешной проверке
输入	Input	入力	입력	Eingabe	Entrée	Вход
输出	Output	出力	출력	Ausgabe	Sortie	Выход
文档 API	Documents API	文書 API	문서 API	Dokumenten-API	API de documents	API документов
日历 API	Calendar API	カレンダー API	캘린더 API	Kalender-API	API de calendrier	API календаря
AI 应用	AI application	AI アプリ	AI 앱	KI-Anwendung	Application d’IA	Приложение ИИ
MCP 客户端	MCP client	MCP クライアント	MCP 클라이언트	MCP-Client	Client MCP	Клиент MCP
统一的发现与调用	Standard discovery and calls	共通の発見・呼び出し	표준화된 검색과 호출	Einheitliche Suche und Aufrufe	Découverte et appels normalisés	Единое обнаружение и вызовы
应用内的连接组件	Connection component inside the app	アプリ内の接続部品	앱 내부 연결 구성 요소	Verbindungskomponente in der App	Composant de connexion dans l’application	Компонент подключения внутри приложения
MCP 服务端	MCP server	MCP サーバー	MCP 서버	MCP-Server	Serveur MCP	Сервер MCP
封装与适配	Wrapping and adaptation	ラップと変換	래핑과 변환	Kapselung und Anpassung	Encapsulation et adaptation	Обёртка и адаптация
文档专用适配	Document adapter	文書用アダプター	문서 전용 어댑터	Dokumentenadapter	Adaptateur de documents	Адаптер документов
日历专用适配	Calendar adapter	カレンダー用アダプター	캘린더 전용 어댑터	Kalenderadapter	Adaptateur de calendrier	Адаптер календаря
