English	de	fr	ko	ru
Zhixu	Zhixu	Zhixu	즈쉬	Чжисюй
Museum	Museum	Musée	과학관	Музей
Exhibition guide	Rundgang	Parcours	전시 안내	Путеводитель
Foundations	Grundlagen	Les bases	기초 지식	Основы
Research room	Wissensraum	Centre de ressources	자료실	Библиотека
AI News	KI-Nachrichten	Actualités IA	AI 뉴스	Новости ИИ
My notes	Meine Notizen	Mes notes	나의 노트	Мои заметки
Main navigation	Hauptnavigation	Navigation principale	주 메뉴	Главное меню
Open guide	Rundgang öffnen	Ouvrir le parcours	전시 안내 열기	Открыть путеводитель
Origins	Ursprung	Origines	시작	Истоки
Understanding	Verstehen	Comprendre	이해	Понимание
Encounters	Begegnungen	Rencontres	만남	Встречи
Action	Handeln	Agir	행동	Действие
Creation	Gestalten	Créer	창작	Создание
Coexistence	Zusammenleben	Coexister	공존	Сосуществование
Where does it come from?	Woher kommt KI?	D’où vient l’IA ?	AI는 어디에서 왔을까?	Откуда появился ИИ?
How does it answer?	Wie entstehen Antworten?	Comment répond-elle ?	어떻게 답을 만들까?	Как ИИ формирует ответ?
What can we entrust to it?	Was können wir KI anvertrauen?	Que peut-on lui confier ?	어떤 일을 맡길 수 있을까?	Что можно доверить ИИ?
From answers to action	Von Antworten zum Handeln	Des réponses à l’action	답변에서 행동으로	От ответов к действиям
Design your assistant	Den eigenen Assistenten gestalten	Concevez votre assistant	나만의 도우미 설계하기	Создайте своего помощника
Where are we heading?	Wohin führt der Weg?	Vers quoi allons-nous ?	우리는 어디로 갈까?	Куда мы идём?
Why do we	Warum brauchen wir	Pourquoi donner	우리는 왜	Зачем нам
need machines	Maschinen mit	aux machines	기계의	способности
to be capable?	Fähigkeiten?	des capacités ?	능력이 필요할까?	машин?
Capability and Choice	Fähigkeit und Entscheidung	Capacités et choix	능력과 선택	Возможности и выбор
Capability	Fähigkeit	Capacité	능력	Возможности
Choice	Entscheidung	Choix	선택	Выбор
Start with human needs	Mit menschlichen Bedürfnissen beginnen	Partir des besoins humains	사람의 필요에서 시작하기	Начать с потребностей человека
Choose your starting point	Einstieg wählen	Choisir votre point de départ	출발점 선택하기	Выбрать отправную точку
Pause animation	Animation pausieren	Mettre l’animation en pause	애니메이션 일시 정지	Приостановить анимацию
Next	Weiter	Suivant	다음	Далее
Previous	Zurück	Précédent	이전	Назад
Sources	Quellen	Sources	출처	Источники
Source	Quelle	Source	출처	Источник
Original sources	Originalquellen	Sources originales	원문 자료	Первоисточники
Original Transformer paper	Transformer: Originalarbeit	Article original sur le Transformer	Transformer 원논문	Исходная статья о Transformer
Chinese original	Chinesischer Originaltext	Texte original en chinois	중국어 원문	Оригинал на китайском
Artificial intelligence	Künstliche Intelligenz	Intelligence artificielle	인공지능	Искусственный интеллект
Machine learning	Maschinelles Lernen	Apprentissage automatique	기계 학습	Машинное обучение
Learning and training	Lernen und Training	Apprentissage et entraînement	학습과 훈련	Обучение и тренировка
Learning	Lernen	Apprentissage	학습	Обучение
Parameters and quantization	Parameter und Quantisierung	Paramètres et quantification	매개변수와 양자화	Параметры и квантование
Context	Kontext	Contexte	문맥	Контекст
Prompts and context	Prompts und Kontext	Consignes et contexte	프롬프트와 문맥	Промпты и контекст
Models and context	Modelle und Kontext	Modèles et contexte	모델과 문맥	Модели и контекст
Agents	KI-Agenten	Agents IA	AI 에이전트	ИИ-агенты
Agents: from answers to action	KI-Agenten: von Antworten zum Handeln	Agents : des réponses à l’action	에이전트: 답변에서 행동으로	Агенты: от ответов к действиям
Knowledge bases and retrieval	Wissensbasen und Suche	Bases de connaissances et recherche	지식 기반과 검색	Базы знаний и поиск
Input and learning	Eingabe und Lernen	Entrées et apprentissage	입력과 학습	Ввод и обучение
Give it capabilities. Give it boundaries.	Fähigkeiten ermöglichen. Grenzen festlegen.	Donnez-lui des capacités. Fixez des limites.	능력을 주고, 경계도 정하세요.	Дайте возможности. Установите границы.
Give it capabilities—and boundaries.	Fähigkeiten ermöglichen und Grenzen festlegen.	Donnez-lui des capacités et des limites.	능력과 함께 경계도 정하세요.	Дайте возможности и установите границы.
Reset	Zurücksetzen	Réinitialiser	초기화	Сбросить
Restart	Neu starten	Recommencer	다시 시작	Начать заново
Resume	Fortsetzen	Reprendre	이어서 진행	Продолжить
Save checkpoint	Zwischenstand speichern	Enregistrer un point de reprise	진행 상태 저장	Сохранить контрольную точку
Approve saving this draft	Speichern dieses Entwurfs erlauben	Autoriser l’enregistrement du brouillon	이 초안 저장 승인	Разрешить сохранение черновика
Run next step	Nächsten Schritt ausführen	Exécuter l’étape suivante	다음 단계 실행	Выполнить следующий шаг
Start trial	Probelauf starten	Lancer l’essai	시험 실행 시작	Начать пробный запуск
Save artifact	Ergebnis speichern	Enregistrer le résultat	결과물 저장	Сохранить результат
Export notes	Notizen exportieren	Exporter les notes	노트 내보내기	Экспорт заметок
Save this question	Diese Frage speichern	Enregistrer cette question	이 질문 저장	Сохранить вопрос
Allow reading teaching sources	Lesen der Lehrmaterialien erlauben	Autoriser la lecture des supports pédagogiques	학습용 자료 읽기 허용	Разрешить чтение учебных материалов
Allow saving a teaching draft	Speichern eines Übungsentwurfs erlauben	Autoriser l’enregistrement d’un brouillon d’exercice	학습용 초안 저장 허용	Разрешить сохранение учебного черновика
Allow checkpoints	Zwischenstände erlauben	Autoriser les points de reprise	진행 상태 저장 허용	Разрешить контрольные точки
Permissions and budget	Berechtigungen und Budget	Autorisations et budget	권한과 예산	Разрешения и бюджет
Human confirmation	Menschliche Bestätigung	Validation humaine	사람의 확인	Подтверждение человеком
Machine prediction	Vorhersage des Modells	Prédiction du modèle	모델의 예측	Прогноз модели
Training errors	Trainingsfehler	Erreurs d’entraînement	훈련 오류	Ошибки на обучающих данных
Model threshold	Modellschwelle	Seuil du modèle	모델의 임계값	Порог модели
Inspection standard	Prüfstandard	Norme de contrôle	검사 기준	Стандарт проверки
Add boundary samples and retrain	Grenznahe Beispiele ergänzen und neu trainieren	Ajouter des exemples près du seuil et réentraîner	경계 부근의 표본을 추가하고 다시 학습	Добавить примеры у границы и обучить заново
Find boundary automatically	Grenze automatisch bestimmen	Déterminer le seuil automatiquement	경계 자동 찾기	Найти границу автоматически
See the boundary	Grenze ansehen	Voir le seuil	경계 보기	Посмотреть границу
Check the results	Ergebnisse prüfen	Vérifier les résultats	결과 확인	Проверить результаты
③ Distinguish memory	③ Speicherarten unterscheiden	③ Distinguer les types de mémoire	③ 기억의 종류 구분	③ Различить виды памяти
One token is not necessarily one character	Ein Token ist nicht unbedingt ein Zeichen	Un token n’est pas forcément un caractère	토큰 하나가 반드시 글자 하나는 아닙니다	Один токен — не обязательно один символ
Why isn't a token simply a character?	Warum ist ein Token nicht einfach ein Zeichen?	Pourquoi un token n’est-il pas un simple caractère ?	토큰은 왜 글자 하나와 다를까요?	Почему токен — не просто символ?
How do next-token predictions become a long answer?	Wie entsteht aus der Vorhersage einzelner Tokens eine lange Antwort?	Comment prédire le token suivant produit-il une longue réponse ?	다음 토큰 예측이 어떻게 긴 답변이 될까요?	Как предсказание следующего токена превращается в длинный ответ?
Back to entrance	Zurück zum Eingang	Retour à l’entrée	입구로 돌아가기	Вернуться ко входу
Back to gallery	Zurück zur Ausstellung	Retour à l’exposition	전시로 돌아가기	Вернуться в экспозицию
Close reading panel	Lesefenster schließen	Fermer le panneau de lecture	읽기 창 닫기	Закрыть панель чтения
Close guide	Rundgang schließen	Fermer le parcours	전시 안내 닫기	Закрыть путеводитель
Back to exhibition	Zurück zur Ausstellung	Retour à l’exposition	전시로 돌아가기	Вернуться в экспозицию
The present	Gegenwart	Le présent	현재	Настоящее
The future	Zukunft	L’avenir	미래	Будущее
Closing: return to the first question.	Zum Abschluss: zurück zur ersten Frage.	Pour conclure : revenir à la première question.	맺음말: 첫 질문으로 돌아가다.	Заключение: вернёмся к первому вопросу.
CLOSING / RETURN TO THE FIRST QUESTION	ZUM ABSCHLUSS / DIE ERSTE FRAGE	CONCLUSION / LA PREMIÈRE QUESTION	맺음말 / 첫 질문으로 돌아가다	ЗАКЛЮЧЕНИЕ / ПЕРВЫЙ ВОПРОС
The story of capability	Die Geschichte unserer Möglichkeiten	L’histoire de nos capacités	능력의 이야기는	Историю возможностей
is still ours to write.	schreiben wir weiter.	reste à écrire, ensemble.	여전히 우리가 써 내려갑니다.	по-прежнему пишем мы.
Capability does not appear from nowhere	Fähigkeiten entstehen nicht aus dem Nichts	Les capacités ne naissent pas de rien	능력은 갑자기 생기지 않습니다	Возможности не возникают из ничего
Ability alone does not establish trust	Können allein schafft kein Vertrauen	La capacité seule ne suffit pas à créer la confiance	능력만으로 신뢰가 생기지는 않습니다	Одних способностей недостаточно для доверия
Where do we want greater capability to lead?	Wohin sollen größere Fähigkeiten führen?	Vers quoi voulons-nous orienter ces capacités ?	더 큰 능력으로 어디를 향하고 싶나요?	Куда мы хотим направить новые возможности?
Next: take your question with you →	Weiter: die eigene Frage mitnehmen →	Suite : emportez votre question →	다음: 나의 질문 가져가기 →	Далее: возьмите свой вопрос с собой →
Decline	Ablehnen	Refuser	거절	Отказать
You declined saving. Task stopped; no artifact written.	Speichern abgelehnt. Aufgabe angehalten; kein Ergebnis gespeichert.	Enregistrement refusé. La tâche s’est arrêtée ; aucun résultat n’a été enregistré.	저장을 거절했습니다. 작업이 중단되었으며 결과물은 저장되지 않았습니다.	Вы отказали в сохранении. Задача остановлена, результат не записан.
