一次次尝试，让经验留下来	Each attempt leaves experience to build on	試みを重ね、経験を次につなぐ	시도를 거듭하며 경험을 쌓기	Aus jedem Versuch Erfahrung gewinnen	Chaque essai nourrit l’expérience	Каждая попытка оставляет опыт
三路条件，共同支持一次识别	Three inputs support one recognition task	三つの条件がそろって、認識を支える	세 가지 조건이 하나의 인식을 뒷받침합니다	Drei Voraussetzungen für eine Erkennung	Trois conditions pour une reconnaissance	Три условия для одного распознавания
外语原文	Original foreign-language text	外国語の原文	외국어 원문	Fremdsprachiger Originaltext	Texte original en langue étrangère	Оригинал на иностранном языке
解释与对照	Explain and compare	説明と照合	설명과 대조	Erklären und vergleichen	Expliquer et comparer	Объяснение и сравнение
核对术语和数字	Check terms and figures	用語と数値を確認	용어와 수치 확인	Begriffe und Zahlen prüfen	Vérifier termes et chiffres	Проверка терминов и чисел
候选原因	Possible causes	原因の候補	가능한 원인	Mögliche Ursachen	Causes possibles	Возможные причины
设计验证试验	Design a verification test	検証方法を考える	검증 실험 설계	Einen Prüftest entwerfen	Concevoir un test de vérification	Разработать проверочный тест
帮我做个分享。	Make a presentation for me.	発表資料を作って。	발표 자료를 만들어 줘.	Mach mir eine Präsentation.	Fais-moi une présentation.	Сделай мне презентацию.
帮我看看设备哪里坏了。	Find what is wrong with the device.	装置のどこが壊れたか見て。	장비가 어디 고장 났는지 봐 줘.	Schau, was am Gerät kaputt ist.	Regarde ce qui ne va pas avec l’appareil.	Посмотри, что сломалось в устройстве.
帮我安排出去玩。	Plan an outing for me.	お出かけの予定を立てて。	나들이 일정을 짜 줘.	Plane einen Ausflug für mich.	Organise-moi une sortie.	Спланируй мне поездку.
把这道题做了。	Solve this problem.	この問題を解いて。	이 문제를 풀어 줘.	Löse diese Aufgabe.	Résous ce problème.	Реши эту задачу.
不够明确	Too vague	あいまいな依頼	모호한 요청	Zu unklar	Trop vague	Слишком расплывчато
更清楚的任务	A clearer task	具体的な依頼	더 명확한 작업	Eine klarere Aufgabe	Une tâche plus précise	Более чёткая задача
对比示例	Compare examples	例を比べる	예시 비교	Beispiele vergleichen	Comparer les exemples	Сравнить примеры
修改我的任务	Edit my task	自分の依頼を編集	내 작업 수정	Meine Aufgabe bearbeiten	Modifier ma tâche	Изменить мою задачу
